t,x_true,y_true,theta_true,x_odom,y_odom,theta_odom,x_ekf,y_ekf,theta_ekf,Pxx,Pxy,Pyy,Ptt,v_meas,w_meas,nis,nees
32.55000000000029,1.5919527419152133,-2.2816315959991487,2.265377464493525,2.4179748486857253,-2.109935287329872,2.584165491076746,1.6231942741693728,-2.2637621970070034,2.272165960415567,4.5844414217979005e-05,-2.0172618010792372e-05,2.495832505271997e-05,0.00013301683068526343,0.349279993764482,-0.4290700719703347,2.389057970409957,83.94246192196633
32.600000000000286,1.5804212224537735,-2.26906299166211,2.2432436673642284,2.403243824146562,-2.10052686350932,2.5622661680482395,1.6105284301164988,-2.250974079446373,2.259048989014339,4.4360474935769364e-05,-2.009447405111652e-05,2.5634133400739134e-05,0.00013293564556033827,0.3495904651044892,-0.4379864605701616,2.756110272010414,83.58278166059935
32.65000000000028,1.5691817010350395,-2.256246241948937,2.2211360117161085,2.3887156429377594,-2.0907924984986446,2.540259697892429,1.5956869405704674,-2.234409131868826,2.234464628362459,4.295068077882264e-05,-1.999490611474433e-05,2.626343153963357e-05,0.00013285972610037957,0.34976463739528457,-0.44012940311623217,2.3977702722716234,87.13188533434706
32.70000000000028,1.5582118213411236,-2.243159329544651,2.1990063939917333,2.374303826149608,-2.0806571661023456,2.517097286279961,1.585644659166188,-2.2212393599232305,2.211989483091033,4.154118918065203e-05,-1.9854549587870012e-05,2.6910470390149536e-05,0.0001327837114283316,0.35238575727455884,-0.4632482322493876,1.8809634409788014,90.3552003707601
32.75000000000028,1.547545487896881,-2.229852722852002,2.176947652247658,2.3601296546770376,-2.070204155063664,2.495222287224676,1.5767589126563435,-2.209694074539178,2.190360525491534,4.015512888728607e-05,-1.9677325248326984e-05,2.755041018341969e-05,0.00013270884814033622,0.3522413635783831,-0.4374999811057214,1.8872674714651732,89.40928669622335
32.800000000000274,1.53717661600392,-2.2163080786466995,2.154854289428432,2.3461331094475697,-2.0594012611339423,2.4733152544917534,1.5693761975868692,-2.1999809078288504,2.1605840489846564,3.8794797910831864e-05,-1.9464794589305278e-05,2.8181449827258697e-05,0.00013263415014864264,0.35362030372434966,-0.43814065465846785,5.291405411585089,84.37362193629674
32.85000000000027,1.527109376846827,-2.2025483236451153,2.1328105648407405,2.332645402418569,-2.0485157129107177,2.45179370192292,1.5577121140854107,-2.183709272223761,2.14732655607638,3.742638160806887e-05,-1.9199766497164832e-05,2.8835805221095633e-05,0.0001325665472351635,0.3466554466186808,-0.4304310513766818,1.432354547789529,89.80481138229496
32.90000000000027,1.5173494798766303,-2.1885637948046406,2.1107836944448737,2.3193825304864326,-2.0373169677778113,2.4289609677855095,1.5486870244443156,-2.1687127866431153,2.104990349483028,3.613099909458904e-05,-1.892356809346172e-05,2.943835909321186e-05,0.00013250190986245823,0.3471764711401738,-0.4566546827482348,1.5809777072741127,94.66162869042012
32.950000000000266,1.507900090827085,-2.1743534144813923,2.0888258202044745,2.3062307006672444,-2.0256979217931126,2.4070273567529377,1.5392365648591528,-2.154919769357037,2.101687786856208,3.476734945384856e-05,-1.85562360828238e-05,3.011761010481515e-05,0.00013243000081894594,0.3509901447054108,-0.4386722206514501,5.460374969750207,94.4884791869754
33.00000000000026,1.4987714472736413,-2.1599423513432323,2.0669664742961324,2.2933924168312325,-2.0138243184842293,2.3833962103806634,1.5331437457893602,-2.1426858733707452,2.0767029774738957,3.353295125751316e-05,-1.8214616162477908e-05,3.069130736022904e-05,0.0001323622252679704,0.3497531807769562,-0.4726229274455202,1.0659847264951714,98.16828620227206
33.05000000000026,1.4899535063862601,-2.1453202690097726,2.045132706667639,2.2807720999370873,-2.001610041161252,2.361689370023047,1.5252096632886174,-2.1297713636211615,2.0633557284502437,3.231926922946243e-05,-1.7837104758800852e-05,3.126297742059055e-05,0.00013229493646330467,0.3512680351039109,-0.434136807152341,2.1005507924810884,98.40048343394928
33.10000000000026,1.4814539864130853,-2.130505515985788,2.023363038609416,2.268436589811961,-1.9891354002232349,2.339484091832972,1.5152651893231626,-2.113799586908854,2.0468888168036274,3.117686356214794e-05,-1.7460928183485176e-05,3.1787080726702625e-05,0.00013223108634879835,0.35088124685602123,-0.4441055638015325,2.1572011048175472,98.96098478897983
33.150000000000254,1.4732977679345343,-2.115541424537171,2.0016128078205955,2.2563397873343423,-1.9763508753502872,2.3176387581239783,1.5100159861013533,-2.1030489598696285,2.007073408162266,3.0085256381218194e-05,-1.707624840943378e-05,3.2281448590377726e-05,0.00013216926382785397,0.352016491642555,-0.4369066741798856,6.245330771314774,94.2542681187802
33.20000000000025,1.4654611905950974,-2.100396638331597,1.9798772076268643,2.2447431908187867,-1.9635480845566944,2.2959597804973324,1.5029959839653533,-2.0911818221022322,1.9957007785330916,2.8948538300622547e-05,-1.659777456978199e-05,3.283319764102697e-05,0.0001321129434838253,0.3454875914519417,-0.43357955253294334,3.2542732463174584,91.02872702105168
33.25000000000025,1.457948113515854,-2.085071358105799,1.9581836481126005,2.233130132024548,-1.950161126308045,2.2747547866939044,1.4955163886739342,-2.075998156110323,1.9770013346077837,2.7892526270245485e-05,-1.613787520658744e-05,3.332569039185391e-05,0.0001320491706066067,0.3544491809141398,-0.42409987606857347,1.2057352771723253,92.82511076228764
33.300000000000246,1.4507654518776847,-2.0695758426446274,1.9365158812590513,2.221870409804946,-1.936614300181491,2.253758847670328,1.4864935037677276,-2.058970505263242,1.9581486157726093,2.688203107777101e-05,-1.566880043372344e-05,3.379577686254126e-05,0.0001319902041179791,0.3523119310229029,-0.4199187804715413,4.5238816602177145,91.1670936954474
33.35000000000024,1.4439314959898257,-2.0539434891560218,1.914892514985733,2.211038712809576,-1.9230064303789414,2.232413056695096,1.4800197710206675,-2.04383944351686,1.9333569976634486,2.5913263388545035e-05,-1.5187749164836993e-05,3.424280644876299e-05,0.00013193877413309404,0.3478570204043164,-0.42691581950467156,0.9440804108185206,91.43934922972764
33.40000000000024,1.4374449875977504,-2.0381691519652634,1.8933549323213603,2.200581633636124,-1.9092623551740608,2.209988383183128,1.4721128762344957,-2.026295739339118,1.8988152550105228,2.4962249283600973e-05,-1.4669715164912182e-05,3.469192465375082e-05,0.00013189218200434613,0.3454056205165173,-0.44849347023938296,3.1587638516315604,88.29120679644932
33.45000000000024,1.4312954960336477,-2.0222500653560407,1.8718370002792835,2.1902517456710884,-1.8950408482582881,2.1879981626042184,1.4677010067941996,-2.011771200710787,1.8835244139465388,2.4004231502313053e-05,-1.407286204369724e-05,3.515971332804664e-05,0.00013183642972663706,0.3515510175495062,-0.43980441157822053,2.2411312324691144,93.9217440874443
33.500000000000234,1.4254880837953865,-2.006180215692755,1.8503847430600353,2.180267894039765,-1.8806486431789913,2.166563018682341,1.462533487341071,-1.998292725878469,1.8638339362550882,2.3110090574668954e-05,-1.3493066515559453e-05,3.5583350904645715e-05,0.00013178331240636782,0.3503281936708748,-0.4287028784375841,2.6969756852933213,92.19805316460332
33.55000000000023,1.4200354022087298,-1.9900117500668142,1.8290197974902467,2.170483382205416,-1.8658892259958133,2.1458569078331244,1.4577123918479087,-1.9832070716035275,1.8397958927344193,2.226041877413797e-05,-1.2906909107837604e-05,3.59793596492336e-05,0.00013172801744627268,0.35416847478503566,-0.4141222169843482,1.9891221128427234,93.45041022602561
33.60000000000023,1.4149184544502678,-1.9737034633817747,1.8077170295869016,2.161209445859398,-1.851250077542892,2.125115911967388,1.4542021002344412,-1.9714049068637205,1.8227121227281522,2.1442861798238704e-05,-1.2293933016098281e-05,3.6359911538530335e-05,0.0001316833815767477,0.3465956311694653,-0.4148199173147538,1.9058292695053924,94.5790190333953
