<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
220225;000000;123.75;152.89;115.11;131.12;396.287.150
220324;000000;131;156.2;130.15;136.24;153.705.270
220325;000000;137.1;147;128.2;131.5;57.307.510
220328;000000;130.6;131.47;125;125;32.756.540
220329;000000;126.19;137.57;122;128.77;72.242.360
220330;000000;136.5;138.4;131.11;134.6;35.411.460
220331;000000;135.2;147.41;134.52;143.69;118.239.240
220401;000000;144.99;155.4;144.51;154.5;118.603.620
220404;000000;158.76;166.88;150.2;166;115.516.920
220405;000000;169.83;169.9;147.76;154.1;130.008.010
220406;000000;143.52;153.3;140.65;141.6;108.343.440
220407;000000;143.2;149.9;142.5;147.5;58.520.280
220408;000000;149.01;151;141.06;143.72;48.314.240
220411;000000;144.12;146.98;138.5;138.69;47.482.340
220412;000000;138.84;140.1;130.35;135.38;75.342.120
220413;000000;136.78;138.14;132.72;135.5;38.947.640
220414;000000;135.7;135.89;129.05;129.05;44.206.040
220415;000000;128.55;131.72;125.12;130.88;46.693.490
220418;000000;131.45;132.68;123.7;123.85;58.331.430
220419;000000;123.85;123.85;115.36;120.3;79.797.640
220420;000000;120.9;125.44;117.51;121.5;66.509.740
220421;000000;121.97;123.05;117.85;118.65;40.607.300
220422;000000;118.69;122.32;115.55;116.97;57.392.470
220425;000000;115.95;116.4;111.5;111.9;45.714.280
220426;000000;112.58;124.92;111.9;122.36;83.480.680
220427;000000;123.01;131.73;120.6;131.11;115.400.220
220428;000000;132.14;134.5;123.05;123.85;123.344.490
220429;000000;123.6;130;122.8;128.8;87.296.290
220504;000000;129.1;131.5;122.5;123.2;67.177.440
220505;000000;124.21;125.54;122.75;124.8;42.303.350
220506;000000;124.74;124.99;121.52;123.1;30.558.900
220511;000000;123.01;126.05;121.86;123.34;32.776.680
220512;000000;123.1;123.74;118.05;119.15;30.817.890
220513;000000;120.45;121.59;118.2;120.2;22.762.650
220516;000000;120.7;123.5;119.5;123.41;34.889.180
220517;000000;124.01;127.78;123.65;127.75;41.838.840
220518;000000;128.2;131.3;125;125.12;55.422.410
220519;000000;125.31;126.86;123.21;125.6;34.146.310
220520;000000;126.07;127;121.05;122.2;39.225.870
220523;000000;121.51;122.5;118.9;119.46;37.711.030
220524;000000;119.45;125;117.1;123.6;45.091.260
220525;000000;124.12;125.5;120.5;124.15;53.466.830
220526;000000;124.81;125.99;122;123;51.897.210
220527;000000;123.1;123.5;120.9;121.22;32.523.920
220530;000000;121.6;123;120.21;120.67;24.894.090
220531;000000;120;120;117.62;118.3;29.907.440
220601;000000;117.5;122.69;117;121.97;43.722.390
220602;000000;121.9;122.39;118.5;119;42.732.340
220603;000000;119.29;120.16;117.18;119.21;34.298.730
220606;000000;119.36;120.35;118.29;118.78;22.191.350
220607;000000;118.65;118.9;117.32;118.32;22.238.300
220608;000000;118.5;122.19;118.4;119.9;41.488.860
220609;000000;120.06;120.2;117.7;118.2;29.343.850
220610;000000;118.03;119.55;117.73;118.07;25.343.510
220614;000000;118.04;119.88;115.8;118.98;37.579.410
220615;000000;119.4;121.71;118.71;121.14;52.145.030
220616;000000;121.5;123.73;120.41;123.73;47.892.000
220617;000000;123.9;125.18;123.11;123.88;36.503.100
220620;000000;124.05;131.5;123.6;131.29;65.637.580
220621;000000;131.98;133.49;127.11;129.1;75.189.920
220622;000000;127.88;133.21;126.03;133.11;67.693.510
220623;000000;133.82;138.4;131.5;136.85;107.981.870
220624;000000;137.19;138.3;135.21;137.76;45.185.200
220627;000000;137.7;141.77;136.77;141.15;69.806.790
220628;000000;141.76;142.35;138.5;139.99;54.771.750
220629;000000;139.81;139.89;132.75;132.8;55.124.090
220630;000000;132.5;135.44;123.55;125.2;91.333.370
220701;000000;124.5;132;122.5;129.91;60.560.280
220704;000000;129.1;132.8;127.16;131.43;47.772.880
220705;000000;132;135.7;131.43;133.5;51.576.470
220706;000000;133.43;137.1;132.5;134;47.025.990
220707;000000;134.1;135.2;131.22;133.09;42.980.870
220708;000000;133.16;133.98;130.9;133.3;27.594.700
220711;000000;132.75;133.9;126.42;126.8;53.657.260
220712;000000;126.6;129.35;124.2;129;57.174.340
220713;000000;129.6;129.95;125.36;126;45.871.190
220714;000000;125.95;128;124.61;125.9;41.631.700
220715;000000;126.2;129.44;125.27;128.9;44.919.840
220718;000000;130;130.64;127.25;128.11;35.315.600
220719;000000;128;128.11;125.51;127.76;32.335.000
220720;000000;128.12;129.2;126.16;126.44;34.673.960
220721;000000;126.4;126.83;122.24;125.48;53.582.090
220722;000000;125.52;129.1;125.03;128.82;46.422.190
220725;000000;128.93;132;127.24;131.45;55.831.830
220726;000000;132.04;133.9;131;132.9;50.300.050
220727;000000;132.9;134.79;131.62;132.5;42.456.260
220728;000000;133.01;133.49;130.1;131.72;40.042.950
220729;000000;131.69;132.75;130.31;131.9;27.767.320
220801;000000;131.77;131.77;127.34;127.34;44.231.460
220802;000000;126.6;128.44;125.6;127.53;43.884.150
220803;000000;128.06;129.15;126.27;126.85;30.874.750
220804;000000;126.94;128.13;126.16;126.95;19.529.260
220805;000000;127.5;127.58;122.24;122.4;61.105.370
220808;000000;126.14;127.38;123.51;123.81;52.606.720
220809;000000;123.9;126.5;122.3;126.4;37.895.140
220810;000000;126.25;127.29;124.87;126.2;31.865.110
220811;000000;126.88;126.97;123.07;123.45;30.717.890
220812;000000;123.48;124.98;122.6;124.88;27.133.850
220815;000000;124.6;125.7;123.28;125;25.301.550
220816;000000;125.17;126.86;124.53;126.39;27.210.450
220817;000000;126.57;127.44;124.5;124.5;32.862.470
220818;000000;124.39;126.5;123.92;126.3;25.365.910
220819;000000;126.35;126.36;124.72;125.2;18.581.110
220822;000000;125.08;126.69;124.7;126.06;24.420.350
220823;000000;126.06;130.49;126.01;130.38;65.383.170
220824;000000;130.6;131.64;127.85;128.15;45.722.080
220825;000000;128.18;129.81;127.1;128.18;35.847.360
220826;000000;128.14;130.5;127.62;130.4;32.857.860
220829;000000;130.12;131.4;129.52;131.17;40.725.660
220830;000000;131.2;132.6;129.65;130.05;50.972.000
220831;000000;132.3;138.34;131.5;134.25;106.571.380
220901;000000;133.98;138.22;132.02;138.2;54.786.340
220902;000000;138.75;144.9;136.22;143.8;136.591.640
220905;000000;143.48;145.1;139.11;141;87.387.950
220906;000000;140.9;141.07;135.22;137.23;86.562.180
220907;000000;136.96;139.19;135.41;136.86;60.616.830
220908;000000;136.68;137.4;134;134.51;57.655.660
220909;000000;134.45;138.47;134.23;138.15;48.925.660
220912;000000;137.12;140.37;136.8;138.7;52.455.460
220913;000000;138.71;139.37;136.15;137;44.533.690
220914;000000;136.7;139.29;135.2;138.9;62.768.230
220915;000000;139.15;140.28;137.61;139.48;56.215.930
220916;000000;139.38;141.39;136.8;137.73;71.732.740
220919;000000;137.45;139.08;137.07;138.04;33.202.580
220920;000000;137.86;138.35;122.42;125.1;208.908.480
220921;000000;112.5;123.98;109.27;120.23;134.746.110
220922;000000;120.35;126.95;120.35;124.31;117.343.820
220923;000000;124.45;124.5;117.35;119.39;85.382.140
220926;000000;114.99;117.99;105;107.06;147.877.290
220927;000000;110;113.89;107.07;112.92;90.733.010
220928;000000;112;115.2;109.13;111.06;77.869.660
220929;000000;111.59;112.2;107.68;110.41;67.451.840
220930;000000;110.9;113.4;103.4;110.21;133.531.450
221003;000000;110.67;114.65;109;114.35;73.873.990
221004;000000;115.05;115.5;110.3;110.55;83.422.320
221005;000000;110.46;110.49;106.25;108.51;90.327.920
221006;000000;108.65;110.38;107.57;108.24;51.634.990
221007;000000;107.72;108.48;101.3;101.5;90.940.030
221010;000000;96.55;106.77;96.5;106.71;116.896.490
221011;000000;106.55;108.3;104.26;107.72;76.867.120
221012;000000;108.27;108.5;105.25;105.9;63.331.750
221013;000000;105.7;107.3;104.8;106.5;46.813.160
221014;000000;106.93;109.19;105.69;107.78;52.538.120
221017;000000;107.99;112.76;107.65;112.44;78.420.110
221018;000000;113.05;114.37;110.48;110.88;101.627.180
221019;000000;110.2;112.93;109.3;112.39;90.574.840
221020;000000;112.76;117.2;112.37;116.98;100.612.540
221021;000000;116.93;119.94;114.37;119.45;102.297.020
221024;000000;120.15;121.68;117.65;118.8;74.327.210
221025;000000;118.86;125.2;118.3;124.36;114.126.120
221026;000000;124.71;126.88;122.1;124.43;108.350.490
221027;000000;124.75;127.5;123.68;126.61;87.825.200
221028;000000;126.13;127.25;124.6;126.97;73.494.940
221031;000000;127.2;128.6;125.41;126.72;60.649.080
221101;000000;127.23;127.97;126.12;127.05;36.720.430
221102;000000;127.05;127.74;123.75;125.49;40.156.380
221103;000000;125.39;126.1;123.91;125.75;47.535.720
221107;000000;127.02;132;126.5;132;91.496.790
221108;000000;131.99;133.11;130.1;131.29;69.371.580
221109;000000;131.06;131.47;126.42;127.3;64.832.870
221110;000000;131.02;136.69;129.77;136.68;170.890.500
221111;000000;137.71;138.42;135.13;136.98;75.278.900
221114;000000;137.41;140.7;135.83;139.8;82.383.460
221115;000000;140.4;141;130.86;135.66;145.273.030
221116;000000;136.99;139.73;136.32;139.18;66.816.110
221117;000000;139.11;140.35;136.6;137.57;59.085.810
221118;000000;137.1;137.81;135.84;136.89;44.009.880
221121;000000;136.01;136.3;132.51;134.46;83.395.500
221122;000000;134.55;136;133.81;135.65;45.774.100
221123;000000;135.7;137.55;134.5;136.59;52.259.060
221124;000000;137;138.41;136.12;136.61;42.319.840
221125;000000;137.2;137.24;135.41;136.53;29.248.180
221128;000000;135.01;136.2;134.1;135.53;45.047.440
221129;000000;136.29;137.2;135.88;136.37;31.503.750
221130;000000;136.51;136.78;135.23;136.78;26.797.760
221201;000000;137.11;137.95;136.31;137.15;32.859.350
221202;000000;136.98;137.1;136.17;136.66;19.212.600
221205;000000;136.66;142.68;136.25;142;103.887.240
221206;000000;142.2;143.37;139.11;140.61;51.734.090
221207;000000;140.5;142.81;138.36;142.32;69.817.930
221208;000000;143.5;143.6;139.8;139.92;63.554.380
221209;000000;139.7;140.7;139.24;140.03;29.390.220
221212;000000;140.19;140.87;138.7;139.48;33.347.970
221213;000000;139.65;139.93;136.67;138.13;52.159.500
221214;000000;138.25;138.25;136.6;137.3;34.031.240
221215;000000;136.97;137.08;134.3;134.55;54.698.540
221216;000000;134.5;136.09;134.13;135.45;32.731.270
221219;000000;135.13;136.73;132.86;134.64;58.784.640
221220;000000;134.51;138.4;134.41;138.28;44.987.710
221221;000000;138.7;139.12;135.81;137.75;45.361.520
221222;000000;137.99;138.97;137;137.69;30.488.490
221223;000000;137.49;138.26;136.81;137.94;22.816.280
221226;000000;138.34;141;138;140.95;49.323.760
221227;000000;141.31;142;139.6;139.9;41.507.480
221228;000000;139.79;140.4;138.6;139.51;27.937.090
221229;000000;139.5;141.65;139.22;140.96;32.029.570
221230;000000;140.84;141.48;140.13;141.15;28.072.880
230103;000000;141.6;143.25;141.56;141.78;21.027.110
230104;000000;141.84;142.28;140.75;141.43;17.094.250
230105;000000;141.6;141.84;140.54;141.27;17.236.330
230106;000000;141.35;141.62;140.9;141.4;10.647.380
230109;000000;141.84;142.99;141.65;142.4;31.314.900
230110;000000;142.11;142.85;141.31;142.81;23.691.190
230111;000000;142.97;149.98;142.87;149.96;123.046.960
230112;000000;150.05;150.79;148.39;149.3;46.557.290
230113;000000;149.57;153.28;147.71;151.69;88.460.580
230116;000000;152.85;154;151.88;153.71;51.527.810
230117;000000;153.97;154.31;150.01;150.45;84.226.560
230118;000000;150.4;153;149.41;151.47;67.364.580
230119;000000;151.2;152.85;148.56;149.34;66.640.910
230120;000000;149.7;151.4;148.64;151.38;44.165.570
230123;000000;151.9;154.1;151.01;153.5;55.100.140
230124;000000;153.94;155.58;152.28;152.66;78.662.030
230125;000000;152.45;153.6;151.5;152.81;43.317.800
230126;000000;153.32;154.3;151.73;152.4;45.375.340
230127;000000;152.4;153.48;151.69;153.2;34.069.080
230130;000000;153.5;153.88;152.21;153.38;31.014.210
230131;000000;153.51;158.18;153.3;158.07;77.840.320
230201;000000;158.2;159.6;156.5;158.29;66.229.060
230202;000000;158.39;160.29;157.37;159.45;53.822.290
230203;000000;159.09;162.32;157.88;161.26;63.595.690
230206;000000;161.71;167.17;161.01;167.09;88.885.050
230207;000000;167.3;168.7;163.4;165.39;92.561.690
230208;000000;165.1;166.35;162.7;164.15;58.565.870
230209;000000;164.35;167.47;161.27;165.31;107.000.260
230210;000000;165;166.49;164.5;165.52;40.772.540
230213;000000;165.21;166.88;164.17;164.32;36.134.650
230214;000000;164.3;164.38;161.64;161.86;58.676.770
230215;000000;160.93;161.12;153.83;156.25;113.600.860
230216;000000;157.34;159.3;156.25;158.22;68.386.460
230217;000000;157.95;160.38;156.91;159.73;51.777.410
230220;000000;159.42;161.3;156.73;160.09;63.810.790
230221;000000;160.64;165.65;159.26;164.15;127.324.000
230222;000000;164.13;164.42;162.5;163.37;43.695.690
230224;000000;163.33;165.5;163.1;164.3;37.700.530
230227;000000;163.64;170;162.96;169.95;100.005.170
230228;000000;170.48;171.92;168.37;169.82;80.540.860
230301;000000;170.4;171.66;169.5;170.53;53.655.680
230302;000000;170.4;170.4;166.55;168.05;86.014.000
230303;000000;168.2;171.26;167.9;171.16;49.424.990
230306;000000;172.13;172.99;171.35;171.84;64.237.540
230307;000000;171.87;174.2;171;174.01;55.231.190
230309;000000;174.85;174.89;172.21;172.55;79.748.090
230310;000000;171.71;173;170.58;172.53;49.778.720
230313;000000;172.53;173.9;169.26;172.15;73.298.080
230314;000000;171.65;176.95;171.01;175.71;89.212.040
230315;000000;176;177.37;173.59;175.3;79.838.900
230316;000000;174.9;176.04;173.36;175.45;51.345.380
230317;000000;183.02;193.66;178.56;193.59;384.905.230
230320;000000;196.03;205.09;195;203.73;155.827.740
230321;000000;204.75;208;201.25;203.32;122.268.990
230322;000000;203.41;204.4;201.59;202.89;57.464.560
230323;000000;202.55;204.2;202.22;202.58;26.484.020
230324;000000;202.85;203.85;202;203.57;24.297.290
230327;000000;204.02;213.2;204.01;211.84;101.348.890
230328;000000;212.85;214.7;210.67;214.03;73.669.280
230329;000000;214.86;219.53;213.6;217.99;96.549.640
230330;000000;217.34;218.45;216.12;216.87;40.737.550
230331;000000;217.2;217.35;211.3;216.6;88.023.190
230403;000000;218.45;219.44;214.8;216.09;54.788.980
230404;000000;216.2;217.29;213.8;214.83;45.747.250
230405;000000;214.69;216.3;211.4;216.15;46.127.960
230406;000000;216.3;217.38;214.07;214.25;38.993.420
230407;000000;214.5;216.39;213.65;216.27;29.157.060
230410;000000;217.1;222.26;216.61;222.21;84.958.930
230411;000000;222.9;223.33;217.62;218.6;98.349.200
230412;000000;218.62;219.7;216.67;219.22;44.633.200
230413;000000;219.41;220.89;218;219.85;32.580.550
230414;000000;219.99;222.5;218.51;221.87;43.248.810
230417;000000;222.97;228.2;222.91;228.1;78.562.510
230418;000000;227.89;232.76;227.05;232.66;97.459.980
230419;000000;232.67;237.37;231.1;232.95;115.494.020
230420;000000;233.32;236.47;229.84;236.28;85.046.740
230421;000000;237.4;238.85;233.52;235.17;115.606.560
230424;000000;235.09;236.4;234.1;235.1;30.405.040
230425;000000;235.16;235.82;234.21;235.3;32.063.750
230426;000000;235.55;235.95;234.91;235.21;24.351.620
230427;000000;235.51;240.74;235.13;240.38;68.224.840
230428;000000;240.86;241.58;237.66;240.38;49.494.960
230502;000000;242.2;245;237.4;242.62;83.246.880
230503;000000;242.85;242.99;234;235.77;76.740.930
230504;000000;236.51;239.74;236.05;238.89;53.006.840
230505;000000;239.19;240.66;237.3;237.7;61.314.710
230508;000000;238.65;239.86;237.36;238.27;47.676.110
230510;000000;216.51;227.5;215.7;227.06;154.134.860
230511;000000;228.57;235.38;223.94;229.32;197.037.380
230512;000000;231.05;232.47;226.15;229.29;69.831.820
230515;000000;230.54;231.75;228.52;231.7;48.873.370
230516;000000;232.4;232.86;229.57;230.62;36.429.340
230517;000000;229.86;230.97;228.75;230.55;31.635.370
230518;000000;231.72;234.49;230.72;231.7;55.909.060
230519;000000;230.98;232.3;229.81;231.27;31.540.330
230522;000000;232.2;232.78;230;231;26.351.890
230523;000000;231.24;237.29;230.21;236.43;62.996.030
230524;000000;237.49;246.13;236.26;246.06;85.850.770
230525;000000;246.11;247.4;242.65;243.76;70.582.820
230526;000000;243.49;249.64;242.81;248.1;69.113.640
230529;000000;249.77;252.59;248.85;251.18;67.591.330
230530;000000;248.84;250.85;243.8;244.65;82.871.290
230531;000000;244;247.18;240.27;246.17;72.797.140
230601;000000;247;247;240.57;241.66;51.897.410
230602;000000;242.01;245.5;240.77;243.95;46.465.000
230605;000000;243.51;244.15;235.1;237.12;78.650.640
230606;000000;236;242.1;232.54;240.91;100.337.100
230607;000000;241.23;244.39;238.56;241.25;63.082.450
230608;000000;241.3;242.78;239.55;241.77;29.851.820
230609;000000;242.79;243;240.11;240.4;27.458.600
230613;000000;241.51;244.5;240.63;244.33;40.478.120
230614;000000;245.7;247.68;242.8;244.6;51.810.860
230615;000000;245.12;245.94;243.22;245.18;40.015.310
230616;000000;245.5;245.9;243.7;243.87;23.311.220
230619;000000;244.46;244.69;241.32;242.28;29.777.860
230620;000000;241.95;242.22;238.82;241.74;36.578.050
230621;000000;241.9;243.92;240.6;242.2;26.644.780
230622;000000;242.1;242.8;240.13;240.66;23.093.570
230623;000000;239.96;240.99;234.34;235.67;61.661.860
230626;000000;239.6;240.5;233.4;238.4;81.032.100
230627;000000;239.02;242.34;236.8;241.21;51.321.260
230628;000000;241.8;241.8;238.6;239.67;28.217.550
230629;000000;239.75;241.26;239.02;239.99;28.077.670
230630;000000;240;240.68;238.36;239.61;24.011.230
230703;000000;240;244.56;239.15;243.33;47.207.170
230704;000000;243.45;243.78;240.61;240.7;41.487.820
230705;000000;241.48;241.9;240.24;240.95;19.841.190
